Crashed,Rewards
True,2.488888888888889
False,40.108058084781995
False,77.97268649531104
False,115.60473079145187
False,151.6350759428596
True,187.6632122328468
False,226.06280040859704
False,264.6304478815837
False,300.2382314583613
False,338.70391574877084
False,375.89199350797435
False,413.18521725035885
True,445.4169437225888
False,482.68107476543474
True,19.13573459132192
True,21.407523227282717
True,24.00000175930997
True,27.311112870421084
True,30.788303293590193
True,31.721636626923527
True,32.56904403433093
True,35.85643403556626
True,40.00646806993908
True,46.48981637556469
True,50.937223782972104
True,53.426112671861
True,18.977070255014592
True,30.977070255014603
False,35.97896375390637
True,19.09630041273752
True,41.42700063939327
True,49.671445083837725
False,83.33486404235339
False,113.17954168282132
False,140.85005286588583
False,172.85005286588628
False,37.21966971653589
True,2.5777777777777775
True,16.65736706003254
