Speed,Action
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
23.333333333333332,
23.511659807956104,4
22.46635092136286,2
21.732197080573094,2
21.216577373461487,0
20.8544411731307,0
20.600101345189188,0
20.421470354920253,0
20.29601210112369,2
20.20789875963694,2
20.146013943668194,2
20.102550259476153,0
20.072024324899573,2
20.050584985389,0
20.03552745201532,0
20.024952065064255,2
20.01752463280233,0
20.012308109732228,0
20.008644378851713,2
20.00607122355566,0
20.004264014349108,2
20.002994753562064,0
20.002103311143728,2
20.001477222641412,2
20.00103750067545,2
20.00072866988454,2
20.000511768149366,0
20.000359431128224,0
20.000252439969344,0
20.000177296658855,0
20.000124521110198,0
20.000087455155587,2
20.000061422550974,0
20.00004313902071,2
20.000030297913035,2
20.000021279192694,0
20.000014945057146,2
20.0000104963913,0
20.000007371951092,0
20.000005177556872,2
20.000003636363672,2
20.000002553934433,0
20.00000179370978,2
20.000001259779708,0
20.000000884783553,2
20.00000062141177,0
20.000000436437347,0
20.000000306523898,0
20.00000021528153,0
20.000000151199103,2
20.000000106191962,0
20.00000007458201,2
20.00000005238133,2
20.000000036789082,2
20.00000002583815,0
20.00000001814696,2
20.00000001274519,0
20.000000008951353,0
20.000000006286818,2
20.000000004415433,2
20.0000000031011,2
20.000000002178,2
20.000000001529678,0
20.00000000107434,2
20.000000000754543,0
20.00000000052994,2
20.000000000372196,2
20.00000000026141,0
20.000000000183594,0
20.000000000128942,2
20.00000000009056,0
20.0000000000636,2
20.00000000004467,2
20.00000000003137,2
20.000000000022034,2
20.000000000015476,0
20.00000000001087,2
20.000000000007635,0
20.00000000000536,0
20.000000000003766,2
20.000000000002643,2
20.000000000001858,2
20.000000000001304,0
20.000000000000917,2
20.000000000000643,0
20.00000000000045,0
20.000000000000316,2
20.00000000000022,0
20.000000000000156,2
20.00000000000011,0
20.000000000000078,0
20.000000000000057,0
20.00000000000004,2
20.00000000000003,2
20.000000000000018,2
20.000000000000014,2
20.000000000000014,2
20.000000000000014,2
20.000000000000014,0
20.000000000000014,2
20.000000000000014,0
20.000000000000014,2
20.000000000000014,0
20.000000000000014,0
20.000000000000014,0
20.000000000000014,2
20.000000000000014,0
20.000000000000014,2
20.000000000000014,0
20.000000000000014,0
20.000000000000014,2
20.000000000000014,0
20.000000000000014,2
20.000000000000014,0
20.000000000000014,2
20.000000000000014,2
20.000000000000014,0
20.000000000000014,2
20.000000000000014,0
20.000000000000014,2
20.000000000000014,0
20.000000000000014,2
20.000000000000014,0
20.000000000000014,0
20.000000000000014,2
20.000000000000014,0
20.000000000000014,0
20.000000000000014,0
20.000000000000014,2
20.000000000000014,2
20.000000000000014,2
20.000000000000014,0
20.000000000000014,2
20.000000000000014,0
20.000000000000014,0
20.000000000000014,2
20.000000000000014,0
20.000000000000014,2
20.000000000000014,0
20.000000000000014,0
20.000000000000014,2
20.000000000000014,2
20.000000000000014,0
20.000000000000014,0
20.000000000000014,0
20.000000000000014,0
20.000000000000014,2
20.000000000000014,2
20.000000000000014,0
20.000000000000014,0
20.000000000000014,2
20.000000000000014,0
20.000000000000014,2
20.000000000000014,2
20.000000000000014,0
20.000000000000014,2
20.000000000000014,0
20.000000000000014,2
20.000000000000014,2
20.000000000000014,2
20.000000000000014,0
20.000000000000014,0
20.000000000000014,0
20.000000000000014,0
20.000000000000014,0
20.000000000000014,2
20.000000000000014,0
20.000000000000014,2
20.000000000000014,2
20.000000000000014,0
20.000000000000014,0
20.000000000000014,0
20.000000000000014,2
20.000000000000014,0
20.000000000000014,2
20.000000000000014,0
20.000000000000014,2
20.000000000000014,0
20.000000000000014,2
20.000000000000014,2
20.000000000000014,0
20.000000000000014,2
20.000000000000014,0
20.000000000000014,2
20.000000000000014,0
20.000000000000014,0
20.000000000000014,0
20.000000000000014,2
20.000000000000014,2
20.000000000000014,0
20.000000000000014,2
20.000000000000014,0
20.000000000000014,0
20.000000000000014,0
20.000000000000014,0
20.000000000000014,2
20.000000000000014,2
20.000000000000014,2
20.000000000000014,0
20.000000000000014,2
20.000000000000014,0
26.488340192043896,3
27.53364907863714,3
28.267802919426906,3
28.783422626538513,3
29.1455588268693,3
29.399898654810812,3
29.578529645079747,3
29.70398789887631,3
29.79210124036306,3
29.853986056331806,3
29.897449740523847,3
29.927975675100427,3
29.949415014611,3
29.96447254798468,3
29.975047934935745,3
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
23.333333333333332,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
21.77777777777778,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
25.0,
23.333333333333332,
23.511659807956104,4
22.46635092136286,0
21.732197080573094,0
21.216577373461487,2
20.8544411731307,2
20.600101345189188,2
20.421470354920253,0
20.29601210112369,2
20.20789875963694,0
20.146013943668194,2
20.102550259476153,0
20.072024324899573,0
20.050584985389,0
20.03552745201532,2
20.024952065064255,2
20.01752463280233,0
20.012308109732228,0
20.008644378851713,2
20.00607122355566,0
20.004264014349108,0
20.002994753562064,0
20.002103311143728,0
20.001477222641412,0
20.00103750067545,2
20.00072866988454,2
20.000511768149366,2
20.000359431128224,2
20.000252439969344,2
20.000177296658855,2
20.000124521110198,0
20.000087455155587,0
20.000061422550974,2
20.00004313902071,2
20.000030297913035,2
20.000021279192694,2
20.000014945057146,0
20.0000104963913,0
20.000007371951092,2
20.000005177556872,2
20.000003636363672,0
20.000002553934433,2
20.00000179370978,2
20.000001259779708,0
20.000000884783553,2
20.00000062141177,0
20.000000436437347,2
20.000000306523898,0
20.00000021528153,0
20.000000151199103,2
20.000000106191962,0
20.00000007458201,0
20.00000005238133,0
20.000000036789082,2
20.00000002583815,0
20.00000001814696,2
20.00000001274519,2
20.000000008951353,0
20.000000006286818,2
20.000000004415433,2
20.0000000031011,0
20.000000002178,0
20.000000001529678,0
20.00000000107434,0
20.000000000754543,2
20.00000000052994,0
20.000000000372196,2
20.00000000026141,0
20.000000000183594,0
20.000000000128942,2
