Crashed,Rewards
False,27.047770608101104
False,54.02930322511747
False,81.32197950664033
True,82.96492506343122
False,111.1478019856463
False,138.019704329717
False,165.4464965407449
False,193.47397787545754
False,220.61256631640597
False,248.3732438581758
False,275.2444810807326
False,303.0052957487927
False,329.96611041685287
False,27.379776098403322
True,29.087852467784113
True,38.11220620318842
False,65.09132995710931
True,68.79317039642038
True,85.56360734861542
False,112.67671678043729
False,28.07040017700633
False,56.82646157512586
True,72.83725441369312
False,100.64042359859357
True,21.306359310604364
True,48.03820552138065
False,75.96907828528136
True,81.85983239919955
True,89.791411299075
False,117.80868996499406
False,145.93966581454077
True,154.05744828629275
True,160.36358811814054
False,188.5001324926742
True,191.98603622110838
False,224.05624180100162
True,225.83253212513745
True,234.9419000710676
True,246.2890584361338
True,267.2412922182787
False,298.98276857103383
True,1.6429455567908953
False,28.62342085047991
False,56.384235501969044
True,64.7004685833085
False,91.66056853563451
False,119.86432337487305
False,27.757414385911844
True,30.35800051698089
False,57.05214851837429
False,84.67962985310103
True,107.87220661159677
False,136.3217732844616
False,163.48258783457538
False,27.689935360515264
False,55.42761507121216
False,82.65509241515919
True,91.74921742616203
False,119.37669866391921
False,146.87082324913789
False,173.69830458386448
False,200.52578591859108
True,208.58771834973754
False,236.01519900013332
False,262.77588029129384
True,22.741887971711773
True,48.54645844477025
True,67.4829837416143
True,91.4166406178872
True,116.37362557619828
False,144.39960270016843
True,147.18261615428963
True,156.00820192556446
True,157.6082019255645
True,160.76821406201245
True,164.87876229739567
True,168.14216827168408
True,172.16289154853715
False,199.32195148913786
True,200.14268625771814
False,227.4793871274712
False,254.5720361833569
True,269.7752281468652
True,21.625977061460855
False,48.78287503396583
True,52.943689017624685
True,58.17103320914102
True,59.77103320914102
True,63.81842996313607
True,66.88804893935334
False,94.22151941589722
True,104.15376370475754
False,131.60152885282187
True,133.37930663059967
False,160.34012129865965
False,187.60861360827536
False,215.1694281593792
True,218.39015143648905
False,246.17127331596808
False,27.555777915006043
False,54.57986604665853
False,82.04666974299502
True,2.271788635960795
False,29.23260330402093
True,43.077611070063554
True,44.67761107006355
True,53.96661385101878
True,66.12742851859497
False,93.62007757461825
True,96.04080090918691
True,16.82597706146086
True,28.431213183674544
True,41.52536118506798
True,49.13061629306314
True,70.64063835970173
True,73.9339573940007
True,74.7769143848032
True,94.84815152452846
False,122.07413391388447
True,143.72192288647742
True,159.88273755453753
True,177.02064124397367
True,177.8278191853957
True,181.36449662145145
True,182.36658379583363
False,210.26073179722695
True,229.7548797981365
True,231.93777954520843
True,237.7202534428067
True,239.94693224592132
True,244.32983199299323
True,250.32718937889678
True,254.1305334816192
True,255.73053348161923
True,256.6416445927303
True,278.1350811989528
True,49.514592933939646
True,56.64404789098178
False,192.77813595799708
False,139.52960904269403
True,193.88118658684854
True,201.6266640561151
False,338.9571474621843
True,54.25410217608694
True,109.70537631589015
False,246.01996924983806
True,265.1275207066752
True,275.77086904870345
True,280.79529856493843
True,20.475719548168755
True,29.265464222071195
True,67.57941157084578
True,80.51874788844528
True,88.08458610281998
True,94.58415312388057
True,107.31286932914801
True,113.7739713381259
True,130.23490637519262
True,223.3775133403038
True,237.36296302016152
True,243.2797475318487
True,266.2434102862335
True,281.15779336608335
True,307.17434101088134
True,316.91035699897907
True,365.7955667978015
True,377.5757093335188
True,396.31493632795093
True,402.7446732245064
True,422.5153461159877
True,433.79401312455315
True,445.0639343046436
True,469.97808108734256
True,483.49257435991234
True,491.1598056320141
True,501.97059842541915
True,553.1640765768946
True,562.3925023005278
True,579.0941671476958
True,586.6674331692834
True,617.0028462951079
True,621.043989748835
True,629.0264570998588
True,649.9808898525703
True,659.8028122313027
True,672.1535461584282
True,678.693756350109
True,684.4128878093104
True,713.4488089877416
True,728.2020445416118
True,737.9373940638194
True,744.9598945404389
True,66.92098159166359
True,77.99359795793282
True,127.75085998530527
True,162.43084745597912
True,228.8475262802242
True,300.92635573575365
True,332.16324168871904
False,468.0881487590656
True,574.7811095593239
True,588.2785971656032
True,597.2636753149312
True,21.842471218483322
True,39.96566982095636
True,70.01404686811094
True,82.08197157710799
True,87.41059143371741
True,99.21125015537469
True,120.19910644765419
True,137.68570871742148
True,143.29012959243977
True,162.79885111307254
True,167.69318536456555
True,176.09436205506412
True,201.50431131168813
True,226.28386305393667
True,233.63423372459079
True,285.90646825492234
True,297.47115923515196
True,306.97919306000784
True,333.83521040240174
True,343.7010753018311
True,348.2528218416652
True,370.0088995835698
True,376.4939714143172
True,382.80444559337684
True,389.3296891864685
True,396.5825568052517
True,428.4483663416236
True,437.82677315708867
True,451.7687735203502
True,457.75097217314624
True,468.95964195504774
True,10.973147033690655
True,63.2473746490057
True,74.04329957364477
True,112.52614449022418
True,144.53554130498873
True,165.71992321877676
True,185.4974010049258
True,204.98870099635482
True,215.0478271977993
True,224.46492735232897
True,274.3809848501616
True,284.07432497519693
True,341.69744060548635
True,377.7274006440282
True,388.1244230629885
True,399.79415590970984
True,426.0533190330443
True,15.290112372242422
True,148.219510349152
True,181.4937243373971
True,244.8283989267611
True,282.3770600140933
True,319.29547106190836
True,345.53731936995274
True,359.94512441963155
True,399.23743214906426
True,429.4166103919204
True,441.447674231575
True,451.6081738393778
True,515.8388435051461
True,533.8868792755877
True,544.6481603253561
True,598.0576618942438
True,632.6205982135425
True,650.797883576339
True,682.4531644333271
True,700.638868413308
True,743.9475882484347
True,774.7188638389973
True,805.3442732684193
True,824.6596462494429
True,860.0794665581976
True,100.12086622460582
False,248.1596923223121
True,265.5531121235244
False,405.663372302505
False,547.9556009427323
True,679.3629227743534
True,703.7418011700582
False,844.317392040495
True,864.3976119797442
False,1010.3884092623149
True,1020.4498251670606
True,1147.3132253552824
True,1164.4428304829416
True,1178.78772138861
True,1319.4707331438744
True,1362.7901861742394
True,1460.5446458842794
False,1602.2132627119465
True,1688.4324969597471
True,1736.1505472238764
True,31.477762680933175
True,142.33894444158412
