Episode,Avg Reward,SuccessRate
2740,110.6871,0.96
2750,118.6392,0.95
2760,121.8286,0.96
2770,116.8904,0.95
2780,122.5203,0.95
2790,122.8488,0.95
2800,120.7058,0.94
2810,121.7165,0.94
2820,122.2491,0.96
2830,119.0367,0.95
2840,106.4938,0.93
2850,122.445,0.95
2860,109.4241,0.93
2870,117.9918,0.92
2880,111.6149,0.91
2890,111.9355,0.89
2900,122.2398,0.9
2910,122.1049,0.9
2920,122.255,0.9
2930,122.3027,0.9
2940,122.5982,0.91
2950,116.0645,0.92
2960,122.1861,0.93
2970,116.5033,0.94
2980,118.4044,0.94
2990,121.8402,0.97
3000,122.4297,0.97
3010,122.7894,0.97
3020,120.431,0.96
3030,120.6276,0.95
3040,109.2004,0.92
3050,118.7464,0.92
3060,116.8905,0.91
3070,121.6886,0.91
3080,110.1558,0.9
3090,112.072,0.88
3100,121.7041,0.88
3110,117.3934,0.87
3120,122.3479,0.88
3130,122.5388,0.89
3140,121.971,0.92
3150,122.5019,0.93
3160,109.7929,0.91
3170,122.0847,0.93
3180,119.5202,0.92
3190,123.2044,0.95
3200,111.3212,0.95
3210,121.6462,0.95
3220,122.3657,0.96
3230,117.9375,0.95
3240,119.4915,0.94
3250,113.1074,0.91
3260,121.9974,0.93
3270,121.6335,0.93
3280,122.5921,0.93
3290,122.0104,0.94
3300,121.8278,0.95
3310,121.6192,0.94
3320,122.2875,0.94
3330,122.3579,0.94
3340,118.3713,0.95
3350,122.3819,0.95
3360,117.8091,0.94
3370,122.0997,0.94
3380,119.5801,0.93
3390,122.8319,0.93
3400,117.9108,0.92
3410,117.3234,0.92
3420,107.9744,0.9
3430,116.2095,0.86
3440,116.7162,0.85
3450,112.837,0.85
3460,121.9091,0.87
3470,118.976,0.86
3480,120.1356,0.85
3490,121.7116,0.86
3500,115.4992,0.85
3510,122.2666,0.86
3520,121.7942,0.87
3530,118.5139,0.89
3540,122.1967,0.93
3550,119.5405,0.93
3560,99.687,0.9
3570,121.544,0.92
3580,122.159,0.93
3590,108.9976,0.91
3600,119.9374,0.9
3610,111.7398,0.9
3620,115.25,0.89
3630,121.1113,0.89
3640,118.7013,0.88
3650,122.4768,0.88
3660,121.848,0.91
3670,122.2279,0.92
