Episode,Avg Reward,SuccessRate
292,94.2902,0.62
293,91.7139,0.61
294,78.9913,0.62
295,65.1553,0.61
296,83.0601,0.6
297,81.113,0.59
298,90.8433,0.6
299,89.8846,0.62
300,98.9111,0.66
301,91.384,0.65
302,87.5514,0.68
303,97.4369,0.71
304,86.5898,0.75
305,101.6184,0.79
306,100.668,0.79
307,102.1213,0.81
308,99.8464,0.82
309,102.4561,0.85
310,91.64,0.83
311,99.1804,0.84
312,98.3158,0.85
313,93.1211,0.84
314,91.9226,0.85
315,87.5183,0.83
316,76.2496,0.8
317,87.6666,0.77
318,77.4142,0.73
319,91.8853,0.73
320,93.8394,0.71
321,98.5987,0.71
322,97.3105,0.72
323,98.585,0.72
324,94.7808,0.75
325,87.8337,0.77
326,86.0656,0.77
327,75.9033,0.73
328,98.7987,0.74
329,90.044,0.73
330,92.4348,0.73
331,95.0357,0.72
332,99.1506,0.71
333,95.6935,0.68
334,94.6537,0.69
335,92.2794,0.69
336,91.0673,0.72
337,93.0634,0.75
338,103.1463,0.76
339,95.6502,0.76
340,100.9341,0.78
341,88.2767,0.76
342,100.0009,0.75
343,102.47,0.77
344,93.5882,0.77
345,105.7304,0.79
346,87.555,0.78
347,94.1485,0.77
348,98.6601,0.77
349,92.8417,0.77
350,102.9002,0.78
351,95.8546,0.81
352,97.3469,0.81
353,99.316,0.81
354,78.1038,0.79
355,97.4131,0.78
356,103.0852,0.81
357,85.941,0.8
358,98.3896,0.79
359,100.9978,0.81
360,93.0469,0.77
361,90.9016,0.76
362,89.174,0.75
363,91.8162,0.74
364,102.7655,0.78
365,100.9034,0.77
366,89.9917,0.73
367,96.0539,0.76
368,77.3239,0.73
369,102.0459,0.75
370,98.6234,0.77
371,81.8084,0.76
372,85.2813,0.76
373,89.4285,0.74
374,95.6695,0.74
375,100.7719,0.78
376,92.5308,0.78
377,95.836,0.78
378,95.1843,0.8
379,100.4641,0.81
380,102.0592,0.82
381,97.6927,0.84
382,85.2656,0.84
383,94.2499,0.85
384,93.1273,0.85
385,99.9334,0.84
386,101.635,0.86
387,102.162,0.87
388,102.142,0.9
389,97.8163,0.89
390,95.4255,0.88
391,103.4991,0.89
392,90.5509,0.9
393,85.4604,0.87
394,79.7767,0.86
395,82.4606,0.8
396,78.9393,0.75
397,94.3671,0.71
398,77.1812,0.64
399,102.5852,0.65
400,89.2471,0.62
401,72.3488,0.59
402,92.9313,0.6
403,82.2497,0.61
404,74.9847,0.6
405,90.5602,0.61
406,83.5649,0.63
407,73.5351,0.64
408,87.1051,0.63
409,101.8227,0.66
410,93.3157,0.69
411,99.0442,0.69
412,96.7541,0.72
413,85.8832,0.75
414,92.0792,0.75
415,101.83,0.78
416,98.8767,0.78
417,99.6278,0.82
418,101.6141,0.84
419,95.146,0.83
420,84.2258,0.8
421,95.2161,0.79
422,88.4799,0.78
423,97.0957,0.8
424,78.5426,0.78
425,89.3177,0.78
426,102.3065,0.78
427,76.0532,0.76
428,99.1353,0.77
429,83.227,0.77
430,100.1236,0.78
431,103.0698,0.8
432,95.5383,0.81
433,101.8907,0.83
434,92.4224,0.83
435,96.9182,0.85
436,95.6976,0.84
437,99.4985,0.87
438,100.5878,0.87
439,101.4851,0.9
440,95.7038,0.89
441,97.6011,0.89
442,102.2616,0.9
443,92.303,0.88
444,87.3726,0.86
445,89.9923,0.84
446,88.1597,0.81
447,94.4111,0.79
448,94.3208,0.76
449,71.2988,0.69
450,86.1679,0.66
451,95.5187,0.64
452,84.0834,0.61
453,79.8026,0.58
454,81.3772,0.58
455,92.9931,0.57
456,70.1667,0.54
457,89.0041,0.54
458,99.8423,0.59
459,101.0547,0.62
460,90.1684,0.62
461,94.3623,0.65
462,92.4963,0.68
463,92.6298,0.7
464,94.8091,0.73
465,102.4026,0.77
466,86.9494,0.78
467,101.5277,0.8
468,81.929,0.75
469,103.1769,0.77
470,89.6199,0.75
471,97.211,0.75
472,89.5769,0.75
473,95.7764,0.75
474,102.5358,0.77
475,100.3929,0.76
476,95.138,0.78
477,100.3082,0.78
478,94.909,0.81
479,96.2481,0.8
480,96.5544,0.82
481,92.3203,0.83
482,101.8029,0.86
483,101.4229,0.88
484,103.6271,0.88
485,101.3633,0.89
486,92.1183,0.88
487,93.7627,0.87
488,102.9392,0.89
489,85.0894,0.85
490,96.4722,0.83
491,94.7933,0.83
492,88.1066,0.79
493,95.101,0.77
494,88.0473,0.73
495,90.2452,0.73
496,98.8692,0.73
497,91.5587,0.75
498,91.7966,0.76
499,103.2193,0.77
500,93.4447,0.77
501,102.4275,0.79
502,88.4874,0.78
503,85.5717,0.79
504,89.0758,0.78
505,91.6817,0.76
506,79.1601,0.73
507,93.9024,0.71
508,104.3052,0.71
509,78.3729,0.69
510,84.2646,0.65
511,86.5307,0.64
