Episode,Avg Reward,Avg Loss,SuccessRate,Eps
0,19.75728283961214,0,0.0,0.8976002411323247
50,12.351414063126859,0.04522312627219591,0.0,0.8641625051320729
100,14.818245675092557,0.04068008782895498,0.0,0.8262098269067634
150,13.148666918265413,0.0677038001752845,0.0,0.7936570298626809
200,13.635759864184298,0.09714825740269514,0.0,0.7616880890641619
250,15.993178930367185,0.12113169529291021,0.0,0.7263160374960022
300,13.68707721679945,0.15126010857713656,0.0,0.6978160704476721
350,13.600486567784921,0.1727531159743824,0.0,0.6705491025785835
400,14.832716159796773,0.19349213437715287,0.0,0.642051869470533
450,14.586530730950956,0.2201560353825294,0.0,0.616025135375326
500,13.898726035760257,0.23082551126662693,0.0,0.5917387493801374
550,15.258545573127092,0.25081406904348286,0.0,0.5665580415304724
600,13.914996499970732,0.27229538421531374,0.0,0.5446281522540513
650,17.8140739987115,0.2858621732831494,0.0,0.5185031767302277
700,17.625154472325182,0.30879047791884207,0.0,0.49375155689489164
750,18.706003686610863,0.31158855394847185,0.0,0.4689409087775292
800,18.359631564306007,0.3190087225805654,0.0,0.44609995110336514
850,16.552339352682957,0.3366526230288984,0.0,0.4263896425891245
900,18.893979961291468,0.3460335250869367,0.0,0.4052709435229763
950,17.69169404819623,0.3384123645956988,0.0,0.3865765937204787
1000,19.45321960492397,0.3571122681475431,0.0,0.3671020026673326
1050,18.26078914785275,0.36180349772598697,0.0,0.3496519655904238
1100,19.777057108414326,0.3651547881248993,0.0,0.33174891128026324
1150,20.172441947516223,0.3620334825667434,0.0,0.31460670805581986
1200,18.7558320923112,0.3652331750805678,0.0,0.29944678486548576
1250,19.857713448988235,0.36521144714828935,0.0,0.2841489200913174
1300,21.4998422628458,0.3758252859505957,0.0,0.26861008466267905
1350,21.263165646809977,0.3705382012789827,0.0,0.25423270082559635
1400,18.42003827198527,0.3649158241935653,0.0,0.24235618226405028
1450,20.536572266400853,0.3757812979253589,0.0,0.22974580856383112
1500,20.903078016077984,0.3618651126039498,0.0,0.21762248667155207
1550,24.422046193687535,0.3673335562922042,0.0,0.20444930039435383
1600,17.28587727159065,0.3714003966623629,0.0,0.19548452636130728
1650,23.056271915447898,0.3639998054551124,0.0,0.18438604005697326
1700,20.564635413941787,0.3659872488006227,0.0,0.17495479434993427
1750,23.604181912479124,0.36383657659514645,0.0,0.1648677400602334
1800,20.50107926037822,0.36404100763576513,0.0,0.15650674417564825
1850,22.07455514128317,0.36600884188145194,0.0,0.14802315524693058
1900,20.81304728619252,0.34509637233757606,0.0,0.14042149341681687
1950,21.24516317291524,0.3593077819180406,0.0,0.13317073258935352
2000,19.397879831308536,0.3566588170896584,0.0,0.1268301841238896
2050,23.62489175964301,0.35060963920857013,0.0,0.11964758639566431
2100,23.72318128350656,0.34147979813570245,0.0,0.11287569993599697
2150,23.22391090847135,0.3463413838979292,0.0,0.10667177354822467
2200,22.923731380643083,0.3435883442051542,0.0,0.10093740955000398
2250,22.788049380422805,0.3412439308421756,0.0,0.09556458430029394
2300,25.438545301357323,0.33698686768173025,0.0,0.08996359453018715
2350,24.79489247023848,0.3338665096277175,0.0,0.0847740921031775
2400,25.119790099066154,0.329834313275584,0.0,0.07994235919229027
2450,25.305000431063803,0.32686406286866465,0.0,0.07536725615847478
2500,27.33768052534574,0.32337606590946877,0.0,0.07078672721319867
2550,23.33182188526841,0.32220465857228175,0.02,0.06708671700549741
2600,25.61853422856424,0.3211740208043996,0.0,0.06327789209810135
2650,33.62032520396044,0.3144223067863716,0.0,0.05869476175119049
2700,26.674913366299226,0.3180223969603466,0.0,0.05532557590697366
2750,25.908278603342065,0.31193509923025864,0.0,0.052273967147346084
2800,28.56832944673843,0.3148026315339514,0.0,0.04916257074507882
