Episode,Avg Reward,Avg Loss,Eps
0,9.261562655,0,0.9
10,18.22014169,0.128851184,0.89
20,15.91848102,0.018621818,0.88
30,15.65011774,0.022782019,0.87
40,14.15922672,0.027545122,0.86
50,12.09093897,0.033967466,0.86
60,22.33597944,0.037689374,0.85
70,12.29835557,0.046080793,0.84
80,18.1237849,0.050393789,0.83
90,11.10735187,0.051974087,0.83
100,13.17781816,0.069171936,0.82
110,10.34530234,0.07029859,0.82
120,9.56390726,0.074191438,0.81
130,11.54430852,0.07731301,0.81
140,14.21084447,0.098292736,0.8
150,12.08488209,0.101732186,0.79
160,16.05878295,0.113544633,0.79
170,13.32478221,0.112144683,0.78
180,11.63987781,0.116515794,0.78
190,12.0488529,0.122148071,0.77
200,11.30276167,0.126053172,0.77
210,10.47768728,0.136797009,0.76
220,18.04974145,0.14613874,0.75
230,8.799912491,0.146661489,0.75
240,11.12322219,0.162432808,0.75
250,8.095201268,0.16813706,0.74
260,14.05280406,0.18493381,0.74
270,10.8468022,0.171997491,0.73
280,12.27710629,0.18954702,0.73
290,16.43633841,0.202846842,0.72
300,15.13042741,0.213901336,0.71
310,14.3988128,0.211212329,0.71
320,15.49784597,0.234971677,0.7
330,13.01016289,0.206365576,0.7
340,18.11105742,0.243819057,0.69
350,12.2391303,0.244877751,0.69
360,13.51211965,0.252211273,0.68
370,17.71502014,0.243893847,0.68
380,11.67250819,0.253902165,0.67
390,13.59008833,0.276631651,0.67
400,14.07612182,0.286548379,0.66
410,10.06454992,0.271232146,0.66
420,21.1595691,0.302466063,0.65
430,12.59927882,0.304603738,0.65
440,17.08343959,0.315515246,0.64
450,12.34266581,0.317073091,0.64
460,12.52524193,0.306878207,0.63
470,12.74268241,0.32306217,0.63
480,12.18513329,0.360696402,0.62
490,8.59653573,0.331471156,0.62
500,15.45039958,0.333543387,0.61
510,8.578815096,0.363167696,0.61
520,17.56323406,0.355780953,0.61
530,16.53652559,0.388316867,0.6
540,17.42755579,0.378876353,0.59
550,11.23706989,0.3908997,0.59
560,19.52455229,0.41649135,0.58
570,14.87379101,0.385242201,0.58
580,15.92804919,0.40773275,0.58
590,19.10510069,0.39746126,0.57
600,21.96532906,0.431257403,0.56
610,17.66765314,0.448359272,0.56
620,15.68929487,0.44972736,0.55
630,14.0860099,0.452235776,0.55
640,12.22880631,0.46127511,0.55
650,14.00513874,0.452668956,0.54
660,12.8820819,0.468561168,0.54
670,18.99642294,0.473276307,0.53
680,18.30447621,0.500005296,0.53
690,24.08443072,0.494056495,0.52
700,24.85464783,0.503997309,0.51
710,21.31152229,0.515672373,0.51
720,18.93691994,0.492252672,0.5
730,32.91320799,0.488651456,0.49
740,22.55319972,0.553237519,0.49
750,20.12763364,0.536472386,0.48
760,22.92095176,0.551652067,0.48
770,23.27370774,0.541215484,0.47
780,34.78729141,0.566266699,0.46
790,23.64928683,0.590684065,0.46
800,24.22473914,0.577620133,0.45
810,24.3422774,0.575235525,0.44
820,19.22203267,0.579739967,0.44
830,25.07111107,0.620417023,0.43
840,16.38088078,0.560915492,0.43
850,34.21042349,0.629790336,0.42
860,26.82216332,0.565428871,0.42
870,16.04179764,0.592664907,0.41
880,19.71839368,0.634444386,0.41
890,17.77057084,0.617394049,0.4
900,19.05616884,0.61454102,0.4
910,26.597538,0.651820594,0.39
920,23.5233495,0.682984061,0.39
930,16.62266114,0.637711521,0.39
940,24.90681441,0.676003496,0.38
950,18.22879449,0.676773023,0.38
960,25.56550204,0.683561483,0.37
970,20.04998192,0.688136993,0.37
980,19.29996423,0.718841841,0.36
990,20.69431062,0.737444998,0.36
1000,24.80680392,0.672106799,0.35
1010,20.68522545,0.716805627,0.35
1020,16.16599334,0.708419023,0.35
1030,21.59275178,0.694469985,0.34
1040,25.9336212,0.778616328,0.34
1050,20.4109906,0.740025136,0.34
1060,22.61572437,0.767582882,0.33
1070,22.48714301,0.783811724,0.33
1080,23.86113761,0.776471564,0.32
1090,21.71705264,0.805474048,0.32
1100,20.72362103,0.746748238,0.32
1110,19.58182942,0.825862848,0.31
1120,23.4906975,0.800001372,0.31
1130,14.75135366,0.763791484,0.31
1140,17.27599098,0.881184235,0.3
1150,25.28116911,0.761056769,0.3
1160,17.15718134,0.766838149,0.3
1170,25.90633872,0.815551733,0.29
1180,23.77720789,0.795563505,0.29
1190,17.64463881,0.830057616,0.29
1200,21.72108246,0.869489215,0.28
1210,18.09938189,0.876972954,0.28
1220,25.08669574,0.788968896,0.28
1230,22.8097818,0.782656069,0.27
1240,24.1990365,0.879875189,0.27
1250,18.2145068,0.839432461,0.27
1260,19.06775521,0.807112177,0.26
1270,19.14797511,0.847600731,0.26
1280,22.68353628,0.877335957,0.26
1290,24.45181358,0.851321463,0.25
1300,23.2540824,0.80839598,0.25
1310,29.37623732,0.87125711,0.25
1320,21.46892131,0.81439352,0.24
1330,23.90249552,0.866838713,0.24
1340,20.95851642,0.865384776,0.24
1350,21.78175741,0.824003235,0.24
1360,19.77151064,0.904969352,0.23
1370,20.81300166,0.824049814,0.23
1380,22.89679958,0.832633351,0.23
1390,28.96273542,0.83225988,0.23
1400,20.72976002,0.838568151,0.22
1410,22.65088448,0.840747504,0.22
1420,18.74093465,0.803986919,0.22
