Episode,Avg Reward,Avg Loss,Eps
1430,24.88709388,0.856508727,0.21
1440,25.27526002,0.838625693,0.21
1450,33.17341218,0.891081062,0.21
1460,19.81752344,0.861638968,0.21
1470,19.0347697,0.884289482,0.2
1480,24.78889533,0.878997576,0.2
1490,14.38385243,0.852730871,0.2
1500,18.40069473,0.909334418,0.2
1510,17.64176075,0.848733696,0.2
1520,12.14609366,0.878164052,0.19
1530,22.12546711,0.913373268,0.19
1540,18.43229138,0.847745926,0.19
1550,23.99332185,0.895239871,0.19
1560,23.9251545,0.891055475,0.19
1570,19.61715358,0.911403275,0.18
1580,22.6560533,0.966566008,0.18
1590,27.46794887,0.950266616,0.18
1600,22.38516865,0.956262012,0.18
1610,19.48355953,0.920519475,0.17
1620,25.14961593,0.938360439,0.17
1630,20.17260309,0.969785721,0.17
1640,26.42233446,0.934028021,0.17
1650,18.51052952,0.948418472,0.17
1660,22.99010169,0.991675307,0.16
1670,29.81123671,1.018516508,0.16
1680,23.88844433,1.055755508,0.16
1690,25.25833126,0.99218932,0.16
1700,20.09038687,0.917581071,0.16
1710,22.87102029,1.024052726,0.15
1720,29.64699413,1.056062431,0.15
1730,23.02514222,1.002096531,0.15
1740,22.75207582,0.993644864,0.15
1750,22.86880872,1.032652759,0.15
1760,21.70977721,1.021097338,0.14
1770,27.6634323,1.056265163,0.14
1780,27.0406986,0.983413679,0.14
1790,25.13613414,0.977722142,0.14
1800,18.86805311,0.965775535,0.14
1810,27.80124464,1.072342765,0.13
1820,24.38704409,1.035725051,0.13
1830,19.25781772,1.069549308,0.13
1840,20.78609651,1.038654062,0.13
1850,28.85303089,1.059415237,0.13
1860,23.05438293,1.023661469,0.13
1870,20.34701566,1.083106588,0.13
1880,23.31858854,1.099762021,0.12
1890,24.74328592,1.022196752,0.12
1900,23.56203518,1.117615339,0.12
1910,33.06764712,1.070379697,0.12
1920,28.8544351,1.04507974,0.12
1930,27.88270841,1.049374832,0.12
1940,32.16259469,1.072458449,0.11
1950,26.22369729,1.093489303,0.11
1960,27.37279335,1.121241233,0.11
1970,27.51045466,1.079458054,0.11
1980,21.58587023,1.057274056,0.11
1990,29.89933088,1.126392119,0.11
2000,27.99016144,1.058867642,0.1
2010,28.62678904,1.123032086,0.1
2020,31.50904601,1.136529464,0.1
2030,24.34586414,1.129318305,0.1
2040,26.47364984,1.084051136,0.1
2050,32.24186039,1.075157524,0.1
2060,28.09538325,1.152813759,0.09
2070,29.40676455,1.154464856,0.09
2080,23.33442976,1.138264892,0.09
2090,46.93096978,1.111785241,0.09
2100,19.57347907,1.101553712,0.09
2110,35.53583804,1.072579619,0.09
2120,41.67001552,1.100921993,0.08
2130,43.61875168,1.086996994,0.08
2140,21.90992707,1.052279854,0.08
2150,27.3536471,1.109381611,0.08
2160,46.52581527,1.060881923,0.08
2170,36.87055335,1.07306825,0.08
2180,43.74562337,0.972059202,0.08
2190,42.49476637,1.025779894,0.07
2200,38.22380458,1.049285042,0.07
2210,38.1504241,1.024135069,0.07
2220,65.86103125,1.023056077,0.07
2230,53.54198559,1.016336351,0.07
2240,63.76197249,0.962631279,0.06
2250,53.56122666,0.966524669,0.06
2260,85.90332929,0.9132206,0.06
2270,78.98944523,0.859057894,0.06
2280,65.72131452,0.831642242,0.05
2290,88.48859064,0.783044572,0.05
2300,81.21977996,0.729865487,0.05
2310,88.49072059,0.693304458,0.05
2320,100.9361117,0.642787088,0.04
2330,115.667275,0.567734812,0.04
2340,103.1073714,0.495669696,0.04
2350,90.56366505,0.40836513,0.04
2360,112.6050938,0.36605491,0.03
2370,105.1319938,0.28638732,0.03
2380,111.6440659,0.258943686,0.03
2390,87.83495787,0.194391089,0.03
2400,110.3901651,0.179783499,0.03
2410,122.6352837,0.158093795,0.03
2420,102.9873944,0.137719283,0.02
2430,99.90095448,0.160524936,0.02
2440,114.5766731,0.114011295,0.02
2450,80.26553757,0.093882036,0.02
2460,92.22813659,0.092985281,0.02
2470,99.80229611,0.101525447,0.02
2480,108.1001555,0.092167141,0.02
2490,81.91879362,0.115665201,0.02
2500,67.01849831,0.111861944,0.02
2510,95.82514898,0.120648818,0.02
2520,107.6621047,0.13156059,0.02
2530,97.34646009,0.145523564,0.01
2540,100.1100764,0.144299283,0.01
2550,85.29846981,0.136513879,0.01
2560,97.74683911,0.138164275,0.01
2570,98.92802281,0.159486931,0.01
2580,87.10490969,0.187614764,0.01
2590,102.9372416,0.190453823,0.01
2600,92.38349263,0.192346291,0.01
2610,92.85468911,0.202562744,0.01
2620,109.7928302,0.192272649,0.01
2630,79.16187579,0.199005881,0.01
2640,94.89128202,0.210283599,0.01
2650,116.4751913,0.207282648,0.01
2660,104.6734061,0.179140443,0.01
2670,103.2551637,0.181037902,0.01
2680,113.6914894,0.183081637,0.01
2690,97.54909854,0.193486484,0.01
2700,109.6684957,0.176374632,0.01
2710,115.3700599,0.155881192,0.01
2720,92.85121318,0.144629639,0.01
2730,117.3895532,0.134952672,0.01
2740,96.50072552,0.139273312,0.01
2750,92.62751384,0.167737795,0.01
2760,106.8956626,0.129857535,0.01
2770,86.78579559,0.148677308,0.01
2780,89.80815452,0.141147017,0.01

