Speed,Action
25.0,2
20.8544411731307,4
20.146013943668194,2
20.024952065064255,4
20.004264014349108,2
24.14628749675384,3
28.999669404311298,3
29.829055270460245,3
29.970787556950306,3
29.995007937178123,3
29.999146915197226,3
29.999854217844067,3
29.999975087544733,3
29.9999957427545,3
29.999999272486832,3
29.999999875676558,3
29.999999978754587,3
29.99999999636941,3
29.999999999379572,3
25.85444117302468,4
25.146013943650072,1
25.024952065061157,0
25.00426401434858,0
25.000728669884452,0
25.00012452111018,0
29.145580106061995,3
29.853989692695478,0
29.97504855634751,3
29.995736091842854,3
29.99927134826242,3
29.99987548199091,3
29.999978721337246,3
29.999996363726886,3
29.999999378603707,3
29.999999893810685,3
29.999999981853495,3
25.854441170029677,4
21.000455116268963,4
20.17096600864189,4
20.029216079397894,4
20.004992684231006,4
20.00085319099428,4
20.00014580030281,4
20.000024915556352,4
20.000004257775444,2
20.000000727603734,2
20.000000124338918,2
20.000000021248056,2
20.000000003631044,1
20.000000000620503,1
20.000000000106038,1
20.000000000018122,1
20.000000000003094,1
20.000000000000526,1
20.00000000000009,2
20.000000000000014,2
20.000000000000014,2
20.000000000000014,2
20.000000000000014,2
20.000000000000014,2
24.145558826869305,3
28.999544883201107,3
29.829033991267547,2
29.970783920586634,2
29.99500731576635,1
25.853587982135966,4
25.145868143365306,1
25.02492714950789,1
25.004259756573664,1
29.14628676915011,3
29.854110453103083,3
29.97506919288038,3
29.99573961838352,3
29.999271950906728,3
29.99987558497573,3
29.999978738936143,2
25.85443753986503,4
25.146013322785834,2
25.024951958962767,2
25.004263996217613,2
25.00072866678608,2
25.000124520580705,2
18.970890062412597,1
E,p,i,s,o,d,e,:, ,8,3
25.0,2
25.0,0
25.0,1
29.1455588268693,3
29.853986056331806,1
25.82948910806644,4
25.14174992931909,1
25.02422339517972,1
25.004139493238917,1
25.000707390691847,1
25.00012088474652,1
29.145579484650224,3
29.853989586503516,3
29.97504853820055,3
29.99573608874175,3
25.853712520863176,4
21.00033059869924,4
20.170944730054224,2
20.02921244313761,2
20.004992062836905,2
20.000853084805343,2
20.00014578215637,2
20.00002491245534,2
20.000004257245514,2
20.00000072751317,2
20.000000124323442,2
20.000000021245413,0
20.00000000363059,2
20.000000000620428,0
24.14555882697532,3
28.999544883219226,3
25.683475164401347,4
20.97123903738606,4
20.165973324498896,2
24.173921715287946,3
29.004391767131864,3
29.829862266705916,3
25.825366636244784,4
25.141045447387185,2
25.024103007506046,2
25.00411892040189,1
25.000703875036045,1
25.000120283962307,1
29.145579381983268,3
29.853989568958944,3
25.829489708333092,4
20.996191205028296,4
20.17023735637737,0
20.029091561298753,1
20.004971405552865,0
20.000849554718542,1
20.000145178906067,1
20.000024809366963,1
24.145563066498223,3
24.853986780834507,1
24.97504805874473,1
24.995736006808393,1
24.999271333731027,1
24.999875479507665,1
9.515967685670459,1
E,p,i,s,o,d,e,:, ,1,4,3
25.0,1
20.8544411731307,4
20.146013943668194,2
20.024952065064255,0
20.004264014349108,2
20.00072866988454,2
20.000124521110198,2
20.000021279192694,2
20.000003636363672,2
20.00000062141177,2
20.000000106191962,2
20.00000001814696,2
20.0000000031011,2
20.00000000052994,2
20.00000000009056,2
20.000000000015476,2
20.000000000002643,2
20.00000000000045,2
20.000000000000078,2
20.000000000000014,0
20.000000000000014,0
20.000000000000014,2
20.000000000000014,0
20.000000000000014,2
20.000000000000014,0
20.000000000000014,2
20.000000000000014,0
20.000000000000014,2
20.000000000000014,0
20.000000000000014,2
20.000000000000014,0
20.000000000000014,2
20.000000000000014,0
20.000000000000014,2
20.000000000000014,0
20.000000000000014,2
20.000000000000014,0
20.000000000000014,2
20.000000000000014,0
20.000000000000014,2
20.000000000000014,0
20.000000000000014,2
20.000000000000014,0
20.000000000000014,2
20.000000000000014,0
20.000000000000014,2
20.000000000000014,0
20.000000000000014,2
20.000000000000014,0
20.000000000000014,2
20.000000000000014,2
20.000000000000014,0
20.000000000000014,0
20.000000000000014,2
20.000000000000014,0
20.000000000000014,2
20.000000000000014,0
20.000000000000014,2
20.000000000000014,0
20.000000000000014,2
20.000000000000014,0
20.000000000000014,0
29.1455588268693,3
29.853986056331806,3
29.975047934935745,3
29.995735985650892,3
29.99927133011546,3
29.999875478889802,3
29.999978720807306,3
29.999996363636328,3
25.854440551718934,4
21.000455010606935,4
24.316524817454795,3
29.028760959513374,3
29.834026674971252,3
29.971637111490807,3
25.849594289184466,4
29.290744495096487,3
25.733237751998868,4
20.97974287813103,4
24.312985357700644,3
29.028156107484456,3
29.833923312875825,3
29.97161944812479,3
29.99515009759233,3
29.999171208739448,3
25.85429954245531,4
21.000430913782807,4
24.31652069959106,3
29.02876025581891,3
29.83402655471815,3
29.97163709094097,3
29.99515311254204,3
25.853612897089576,4
17.51179084193798,3
E,p,i,s,o,d,e,:, ,3,3
29.1455588268693,3
25.70842722946251,4
25.121061878603935,0
25.02068805071515,0
20.857976517595272,4
20.14661809244254,4
20.025055306981756,4
20.00428165717813,4
20.00073168483645,4
20.000125036330004,4
20.000021367237697,0
20.00000365140953,0
20.000000623982928,0
20.00000010663134,0
20.000000018222043,0
20.000000003113932,0
20.000000000532136,0
20.000000000090935,0
20.00000000001554,0
20.000000000002657,0
20.000000000000455,0
20.000000000000078,0
20.000000000000014,0
20.000000000000014,0
20.000000000000014,0
20.000000000000014,0
20.000000000000014,0
20.000000000000014,0
20.000000000000014,0
20.000000000000014,0
20.000000000000014,0
20.000000000000014,0
20.000000000000014,0
20.000000000000014,0
20.000000000000014,0
20.000000000000014,0
24.145558826869305,3
20.70842722946251,4
20.121061878603935,0
20.02068805071515,0
20.003535344464566,0
24.146162975643644,3
20.70853047138001,4
20.12107952143296,0
20.02069106566706,0
24.149094686553678,3
29.000149120020453,3
25.683578421361602,4
20.97125668278571,4
20.165976339890094,4
20.028363403713527,4
20.00484697198859,1
20.00082829048641,0
24.145700371968275,3
24.854010244723888,0
20.82949324157806,4
20.14175063568759,0
20.024223515889783,0
20.004139513866843,0
20.000707394216917,0
20.000120885348913,0
20.000020657883866,0
24.145562357058605,3
24.853986659599627,0
24.97504803802711,0
24.995736003267993,0
29.14483015999532,3
29.85386153573608,3
29.975026655830963,3
29.995732349302244,3
29.99927070870626,3
29.999875372698284,3
29.999978702660425,3
29.99999636053524,3
29.999999378058295,3
12.458444256243384,4
E,p,i,s,o,d,e,:, ,1,0,9
20.8544411731307,4
20.146013943668194,0
20.024952065064255,0
20.004264014349108,0
20.00072866988454,0
20.000124521110198,2
20.000021279192694,0
20.000003636363672,0
20.00000062141177,2
20.000000106191962,0
20.00000001814696,0
20.0000000031011,2
20.00000000052994,0
20.00000000009056,2
20.000000000015476,0
20.000000000002643,2
20.00000000000045,0
20.000000000000078,2
24.14555882686931,3
24.85398605633181,0
29.12060676180504,3
29.849722041982698,3
29.9743192650512,3
29.9956114645407,3
29.999250050922768,3
29.999871842526133,0
29.999978099395534,3
29.99999625744437,3
29.999999360441272,3
29.999999890706942,3
25.854441154453806,4
21.00045511360723,4
20.170966008187033,2
20.02921607932016,2
20.004992684217722,4
20.00085319099201,4
20.000145800302423,4
20.000024915556292,4
20.00000425777543,4
20.00000072760373,4
20.000000124338918,4
20.000000021248056,4
20.000000003631044,4
20.000000000620503,0
20.000000000106038,2
20.000000000018122,0
20.000000000003094,2
20.000000000000526,0
24.145558826869387,3
20.708427229462522,4
20.121061878603935,2
20.02068805071515,0
20.003535344464566,0
24.146162975643644,3
24.854089298249306,2
24.975065577764767,2
20.850180173733495,4
20.145285789003463,4
20.02482763199907,4
20.004242750202273,4
20.000725036092025,4
20.000123900137805,4
20.00002117307582,4
20.00000361822955,4
20.00000061831286,0
20.00000010566239,2
20.00000001805646,0
24.145558829954936,3
24.853986056859107,2
20.82948910815655,4
20.141749929334484,4
24.169782222051648,3
20.712566722701872,4
24.26732809616516,3
20.729236164924192,4
24.270176707718733,3
29.020840612862315,3
25.687114354045125,4
29.26297858581835,3
25.728492884779534,4
29.27004968988698,3
29.875260080139984,3
29.978683415307714,3
29.99635724647367,3
25.85381866941141,4
29.291466391975856,3
29.878919942551462,3
29.979308842734188,3
29.99646412466247,3
29.999395760505713,3
29.999896742579534,3
29.999982354521705,3
29.999996984595366,3
29.999999484702826,0
29.999999911941774,0
29.999999984951884,3
29.999999997428453,3
29.999999999560554,3
17.274897043144655,3
E,p,i,s,o,d,e,:, ,2,0,8
20.8544411731307,4
20.146013943668194,2
20.024952065064255,0
20.004264014349108,1
20.00072866988454,2
20.000124521110198,0
20.000021279192694,1
20.000003636363672,2
20.00000062141177,0
