SimNumber,InstantReward,InstantSpeed,LaneLeft,Idle,LaneRight,Faster,Slower,Action
0,0.9260094723591142,27.225355213466784,9.080792427062988,8.976195335388184,9.12621784210205,9.22998046875,8.923681259155273,3
0,0.9589405136456749,28.460269261712806,9.42679500579834,9.31619930267334,9.609596252441406,9.42494010925293,9.242012023925781,2
0,0.9772149020498481,29.1455588268693,9.349220275878906,9.669509887695312,9.927273750305176,9.653324127197266,9.534761428833008,2
0,0.9873558893523925,29.525845850714717,8.71989631652832,9.765748023986816,9.982056617736816,9.732223510742188,9.578636169433594,2
0,0.9929834168622532,29.736878132334496,8.690250396728516,9.671131134033203,9.93696403503418,9.635482788085938,9.498632431030273,2
0,0.9961062948355148,29.853986056331806,8.673931121826172,9.572690963745117,9.836692810058594,9.544658660888672,9.397310256958008,2
0,0.9978392702530128,29.91897263448798,8.618849754333496,9.456196784973145,9.711128234863281,9.409857749938965,9.299936294555664,2
0,0.998800948494483,29.95503556854311,8.537094116210938,9.317004203796387,9.574666976928711,9.250720977783203,9.187122344970703,2
0,0.9993346115982865,29.975047934935745,8.472240447998047,9.163679122924805,9.435601234436035,9.083333969116211,9.064384460449219,2
0,0.9996307567080333,29.986153376551243,8.85917854309082,9.09301471710205,9.478009223937988,9.009363174438477,9.058021545410156,2
0,0.9997950962049963,29.992316107687365,8.563505172729492,8.879132270812988,9.097465515136719,8.892311096191406,8.810115814208984,2
0,0.9998862929506904,29.995735985650892,8.454188346862793,9.028223991394043,9.09199333190918,8.997167587280273,8.985631942749023,2
0,0.9999369006656883,29.997633774963308,7.70393705368042,9.038347244262695,8.747666358947754,8.945577621459961,8.94624137878418,1
0,0.9999649843522036,29.998686913207635,6.71323823928833,9.008657455444336,8.534544944763184,8.903144836425781,8.856657028198242,1
0,0.9999805688030788,29.99927133011546,5.815120220184326,8.871027946472168,8.151944160461426,8.742693901062012,8.664688110351562,1
