HighwayCrashed,HighwayRewards,HighwaySpeed,MergerCrashed,MergerRewards,MergerSpeed
False,15.695756418702212,24.42954328506665,False,12.833793545835926,23.675193934200244
True,6.28583396899089,21.817226700838944,True,0.0,0
True,9.919167325712039,22.488253057610695,True,0.0,0
False,16.04535247376502,25.085035888309417,True,7.921906564423862,17.762078122168163
False,16.07250065904878,23.885938735716465,True,6.713649095115121,17.89162519621384
False,16.56175737033058,23.203755764548994,False,12.872857439284175,23.90957729488973
False,14.644894745026797,18.222138503657803,False,12.019320424290223,23.751733642745137
False,17.085283838954524,25.7157761115679,False,16.06130442673069,18.579863073987482
False,16.13882960027869,24.01030550052254,False,12.826957497956862,23.634177646925846
False,16.352500659048776,23.021957851864805,True,13.313229248151435,18.480664520851825
False,15.54583399238211,22.722107632391815,False,16.848792139949257,17.944564629771673
False,14.044894745026784,18.222138503657803,True,6.829155232310129,19.04668656816392
True,13.925496266945355,23.381304937715537,True,0.0,0
False,13.92018687196489,21.041222002090173,False,14.280078460950824,19.03435166840423
False,16.800170458789903,24.1911911314808,False,12.881064416589629,23.958819158722452
False,15.358389413221905,22.241222002070998,False,12.881057556458474,23.95877799793552
False,16.07250065904878,23.885938735716465,False,14.397919186812345,19.206888631045203
True,5.852500635657557,22.34977767650692,True,0.0,0
True,5.58583396899089,22.34977767650692,True,0.0,0
False,14.751686530614068,21.791222002090077,False,12.849867525017277,19.53435166840432
False,14.925076020950106,22.241222002070998,False,11.955905572857679,23.35877799794038
False,16.13882960027869,24.01030550052254,False,14.000000000000004,24.000000000000007
True,14.540186981533486,21.5390306412128,True,0.0,0
False,17.029089752035542,24.42954328506665,False,13.919202023145264,23.515212138871583
True,16.03216293361202,23.37875175611566,True,0.0,0
False,14.918389303906235,21.041222002090173,False,12.727645302795743,19.201018335074416
False,14.586853538631557,21.041222002090173,False,14.784648077393832,20.33048982149677
False,16.087773184409553,23.230446132473695,False,15.103709415818546,19.268547079092723
False,14.831758906962826,22.691221998247798,False,14.523537001173029,19.97754882973956
False,16.26934519160589,25.50502223426104,True,9.529168049588387,22.511374951177704
True,14.519185812754312,25.526325196251538,True,0.0,0
False,15.221985067781425,21.041222002090173,False,14.418967349839713,19.03435166840423
False,16.739167325715446,23.885938735716465,False,14.524711059513322,19.983764432717596
False,16.13882960027869,24.01030550052254,False,14.530407334000865,20.013921180004562
False,15.393520244698008,22.991221870514533,False,12.727645332034772,19.20101848126957
False,14.551742578053853,21.041222002090173,False,14.523537000319168,19.977548825219117
True,9.685833992378706,22.746169732785713,True,0.0,0
False,14.585437070584847,21.041222002090173,False,12.881057556454214,23.958777997909955
False,16.17351990423104,23.14122123213875,False,14.412420030196973,22.16361266985798
False,16.4001729214261,23.44119563640891,False,12.853426356648697,23.79299079907686
True,8.47216293349529,23.492558149101328,True,0.0,0
True,30.050723462823086,23.81916609143836,True,0.0,0
True,7.632162932928934,22.669314124966185,True,0.0,0
False,30.386853538631588,21.020611001045094,False,15.140203666015276,20.154019408316174
False,29.12018687196489,21.020611001045094,False,12.881057556454214,23.958777997909955
True,13.89250065904878,23.217944742791204,True,0.0,0
True,29.273520314871607,21.387454002822153,True,0.0,0
False,29.12018687196489,21.020611001045094,False,15.3568703336525,19.70101833492918
False,30.85352031487169,21.77061100104509,False,13.75663541497607,23.039812489856438
False,28.816591735845556,21.020611001045094,False,14.285634016507082,19.201018335074416
True,26.213520205298224,20.759748813785514,True,0.0,0
True,24.242340869616296,24.709923538296934,True,0.0,0
False,29.618389303904117,21.020611001045094,False,14.931356909175287,19.201018335074416
True,21.692519075915722,25.992320190188217,True,0.0,0
True,21.92018687196489,20.71324858419561,True,0.0,0
False,29.053520205298224,21.020611001045094,False,12.0261907579719,23.792955644835178
True,7.953517911771999,21.628808022364357,True,0.0,0
True,28.39072335324964,22.39393573921004,True,0.0,0
True,17.705868463281746,24.947837307233247,True,0.0,0
False,30.360186931199603,22.745611001045084,False,14.523537000319168,19.977548825219117
True,19.46934519394551,22.60572596861379,True,0.0,0
False,31.9201869311996,22.89561100104508,False,12.026190757971904,23.792955644835207
False,28.349925069176695,21.020611001045094,False,14.69575922157083,20.154019408316174
True,13.925496266945355,23.582674282984527,True,0.0,0
False,30.685056014111357,23.270611001044756,False,14.69575922157098,20.15401940831696
False,29.12018687196489,21.020611001045094,False,12.849867525017256,19.534351668404216
False,29.12018687196489,21.020611001045094,False,14.523537000319168,19.977548825219117
True,13.580186911364672,22.268984571750902,True,0.0,0
False,29.487773075186297,21.36522306656516,False,12.866926246266122,23.873990136781412
False,29.218389305465706,21.020611001045094,False,13.993129666318325,23.958777997909955
True,18.698829600278696,24.00858791710212,True,0.0,0
True,14.35216293361202,23.309724173461845,True,0.0,0
False,30.54685363621316,23.42061098980273,False,13.993129671314932,23.958778027889593
False,30.3517221591727,22.89561100104503,False,14.695759221570858,20.15401940831631
False,28.88685416638731,21.39561100104509,False,14.523537000319168,19.977548825219117
True,23.280186981538346,21.874538906776248,True,0.0,0
True,6.965496266262267,23.101316462322437,True,0.0,0
False,30.684054295596304,22.54923671069954,False,14.013740462027396,24.082442772164374
True,16.87216293361202,23.73419712571812,True,0.0,0
False,29.38018698153781,21.545611001045092,False,15.829092555874723,19.70101833492918
False,31.751719275398518,24.0206082975007,False,11.955906774428703,23.358785207366513
False,31.046853648205012,22.295611001045085,False,12.881057556454214,23.958777997909955
True,11.60549626694534,23.61708507912849,True,0.0,0
False,29.718389303904136,21.020611001045094,False,15.3568703336525,19.70101833492918
True,21.853520205298224,20.739253805551048,True,0.0,0
False,31.72685364820502,22.745611001045084,False,12.0261907579719,23.79295564483518
True,17.272919521459837,23.07884009339745,True,0.0,0
True,11.020186871964823,20.444419131879034,True,0.0,0
True,5.685496243554132,23.302267455864264,True,0.0,0
False,29.758388963203306,21.620611000772886,False,12.881057556575191,23.95877799863583
False,29.645056080143704,21.545611001045092,False,13.993129666318325,23.958777997909955
False,30.23838882774818,22.445611001045087,True,9.551080933557293,22.69066218365057
False,30.386853538631588,21.020611001045094,False,15.3568703336525,19.70101833492918
False,29.93838941347757,22.070611001045087,False,13.993129666318325,23.958777997909955
False,28.703638833000152,21.69561092248772,False,12.881057591368602,23.95877820739628
False,29.846853659277485,21.170611001045085,False,12.881057556454214,23.958777997909955
False,29.052103737251514,21.020611001045094,False,11.96619379208389,23.43297384950714
False,29.800186981538346,22.22061100104509,False,14.523537000319168,19.977548825219117
True,13.752162933612023,23.17858885020529,True,0.0,0
False,29.778389413477043,21.545611001045092,False,14.412419859096659,22.16361170741871
False,31.386853648205015,22.520611001045086,False,13.993129666318325,23.958777997909955
True,12.572500659048762,23.121290006385834,True,0.0,0
True,7.532500658365692,22.679822127014923,True,0.0,0
True,17.849496266945362,23.939396087410906,True,0.0,0
True,9.718829600275281,23.570626126160114,True,0.0,0
