HighwayCrashed,HighwayRewards,HighwaySpeed,MergerCrashed,MergerRewards,MergerSpeed
False,14.135086268027699,18.791248367771438,False,16.558179248769846,17.011806619464313
False,13.924557015172713,18.346505268463883,False,15.88153296077041,16.511868334049492
False,13.80114739204591,19.421984874038966,False,16.398094045659626,15.601806029775833
False,13.80198505179228,19.272138503638622,False,14.370186079265157,18.895164185523768
False,14.395075013776607,18.941226507674894,False,16.74939726669809,15.988271009472362
False,13.943934763457964,19.21559327248098,False,16.06111011586145,19.105258443554238
False,13.724527137234677,18.346505268463883,False,16.805696280337127,17.875633261517077
False,14.508488230116994,18.641376288201904,False,16.978396624065258,15.902359289610784
False,15.485833637885777,23.472137602114188,False,16.026322516122256,19.203632971105417
False,14.79633874340831,19.510486152315536,False,15.974811667862115,17.9070026372416
False,14.38919815189049,19.805207391526558,False,17.808656378886294,14.357303429388756
False,14.04081211522215,19.271389941705856,False,15.687740492122876,18.915612857424154
False,14.524556761292711,18.372138503564766,False,16.90555555555215,16.857142857128263
False,14.128651734448091,21.491222002090176,False,12.083200858346455,19.86768500171687
False,14.351687317227713,21.041222002090173,False,12.110978636124234,19.867685001716865
False,15.05352083229866,21.041222002090173,False,16.14020366701503,18.032543685860663
False,14.271400837467866,21.341222002090174,False,14.046745127617484,19.534351668404216
False,14.34466474858731,21.341199503617855,False,14.481361908830959,19.86771000001944
False,14.849910003173171,21.041222002090173,False,15.21558680707532,21.14134191981053
False,15.94196827668027,22.39119051877551,False,16.1124328855294,18.03257682619189
False,15.178874695493999,23.404304543462253,False,15.470629768931492,19.57537106687968
False,14.898973393800384,22.935575113375712,False,12.223344611398247,19.59618154475361
False,15.622366821198847,22.235041163188946,False,14.847132742325664,19.374552600517198
False,14.168507103587178,21.341222002090174,False,15.629092555903066,19.534351668404216
False,14.983262388697492,21.041222002090173,False,15.629092555903066,19.534351668404216
False,14.682879230705153,21.041222002090173,False,14.906870333680844,19.534351668404216
False,15.301973409063272,21.191200141993633,False,14.761175882710548,20.794460555526417
False,15.288314009011334,21.165588766896253,False,15.490143924144265,19.39516406516578
False,15.200191747273104,21.191222002090093,False,16.1957592225706,18.032543685860745
False,14.633748714881614,21.19122200209017,False,15.295758392429098,19.534347517701054
False,15.345226675412846,21.341222002090174,False,14.01896734983971,19.534351668404216
False,14.15854835002803,21.491200141993637,False,15.406874361339442,19.534371806697205
False,14.633748714881614,21.19122200209017,False,14.486912464730842,19.201018335074416
False,14.907918375036324,21.341222002090174,False,14.453579131392665,19.867685001716865
False,14.780009431881938,21.46546084646578,False,14.95703947937586,19.229641841323744
False,16.581985065334383,23.591221997501968,False,15.827837692767579,19.972521797171236
False,14.751725195833087,21.791218116895493,False,14.157857102105192,19.534355985287192
False,13.96708204821495,21.19122200209017,False,15.406869503540209,19.534347517701054
False,15.566706791695848,21.94017014345092,False,15.828071438112259,19.97369052389462
False,28.105807685232627,21.320611001045087,False,15.684507392526639,19.672536962633192
True,12.184538077502008,22.577522860337407,True,0.0,0
False,28.71838993153078,21.395611001045076,False,14.157856238728598,19.534351668404234
False,28.61659236088674,21.020611001045094,False,15.406869503395027,19.534347516975142
True,28.392304448355436,21.361428411890877,True,0.0,0
True,23.989925280256454,22.115892122478893,True,0.0,0
False,29.74792320619866,22.145608750173913,False,15.740063948469384,19.672541964569135
False,28.604986179904948,21.320545118467702,False,15.46225470857929,19.53349576511867
False,28.649545865324924,21.020611001045094,False,14.074522905395263,19.534351668404216
False,27.898583263757775,21.095611001045093,False,16.195759222570587,18.032543685860663
False,29.90467676676261,21.69561100104509,False,15.295758392429098,19.534347517701054
False,29.408305012592212,21.545611001045092,False,15.462425889236398,19.534351668404216
True,27.128300627170645,21.916672107353982,True,0.0,0
False,28.635318401064854,21.845611000998296,False,15.629092555923862,19.53435166850819
False,29.159497335579854,21.095611001045093,False,13.924522905395971,19.201018335074416
False,30.400191747273173,21.095611001045093,False,14.481356909170444,19.867685001716865
